Artist,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Outlier
Anderholm,0.5189999999999999,0.6915,4.5,-7.675,0.5,0.04815,0.3518,0.47435,0.08070000000000001,0.18,120.011,3.5,1
Andrew Bayer,0.528,0.6665000000000001,9.0,-7.8355,0.5,0.0435,0.018914999999999998,0.44801735000000004,0.4415,0.189,125.98750000000001,4.0,1
Angara,0.6666000000000001,0.6174,6.6,-9.4548,0.8,0.06972,0.1016696,0.7924,0.10251999999999999,0.14450000000000002,120.6134,4.0,1
Angel Olsen,0.4023333333333334,0.44566666666666666,3.0,-8.664666666666667,0.6666666666666666,0.03626666666666667,0.7000000000000001,0.014462999999999998,0.13523333333333334,0.2723333333333333,108.95233333333333,4.0,1
Angrybaby,0.686,0.824,1.0,-5.982,1.0,0.0352,0.0156,0.214,0.457,0.394,131.982,4.0,1
Anika,0.586,0.501,9.0,-7.439,0.0,0.0326,0.0242,0.0173,0.0845,0.161,141.353,4.0,1
Animal Collective,0.43620000000000003,0.8725999999999999,5.4,-5.7783999999999995,0.8,0.0857,0.125788,0.032195,0.46319999999999995,0.4224,123.52080000000001,3.6,1
Antonio Williams,0.716,0.697,7.0,-8.409,1.0,0.0259,0.00846,0.144,0.229,0.85,111.999,4.0,1
Aoud,0.46,0.87,11.0,-7.611,0.0,0.0483,1.18e-05,0.155,0.17,0.103,128.014,4.0,1
Aphex Twin,0.625,0.6561375,4.875,-11.895875,0.6875,0.09216875000000001,0.2708349375,0.75263,0.15179375,0.35095,127.5101875,4.0,1
Apparat,0.499,0.695,5.0,-9.557,0.0,0.0469,0.0503,0.805,0.0829,0.0875,128.019,4.0,1
Aqueduct,0.814,0.873,4.0,-7.007,1.0,0.0364,0.0961,0.000294,0.0993,0.703,120.665,4.0,1
Ara Koufax,0.745,0.632,5.0,-7.646,1.0,0.0477,0.561,0.702,0.0898,0.971,109.997,4.0,1
Arab Strap,0.71,0.561,2.0,-14.796,1.0,0.053,0.0887,0.0931,0.0911,0.634,146.539,4.0,1
Arcade Fire,0.4217619047619047,0.7371428571428572,5.095238095238095,-7.665619047619048,0.7619047619047619,0.0391,0.19199833333333335,0.2087090523809524,0.1493952380952381,0.3907857142857143,119.50790476190477,4.0,1
Archers Of Loaf,0.43424999999999997,0.6585,6.75,-9.086749999999999,1.0,0.0402,0.04363500000000001,0.17146750000000002,0.245025,0.4995,129.59275,4.0,1
Aretha Franklin,0.805,0.558,0.0,-5.226,1.0,0.041,0.164,2.2e-05,0.0546,0.965,114.95,4.0,1
Ariel Pink,0.408,0.83875,3.25,-4.655,0.75,0.056375,0.04470625,0.28955725,0.2875,0.5645,127.53225,4.0,1
Arielle Free,0.723,0.99,7.0,-8.11,1.0,0.058,0.000546,0.921,0.0536,0.495,128.002,4.0,1
Armin van Buuren,0.754,0.86,1.0,-3.991,0.0,0.289,0.0992,0.00232,0.134,0.409,127.953,4.0,1
